rank_step25,sample_key,composition,material_system,n_or_p,sintering_check_reason,zt_obs_max,zt_pred_ML_max,zt_pred_fitting_max,candidate_score,candidate_tier,sintering_method_final_step17,sintering_checked_final_step17,DOI,paper_title,doi_url
81,10.1016_j.scriptamat.2019.09.009__sample_35188,Cu2Se,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.997573,3.0319598175513733,2.3748485954315965,130,A,,no,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
82,10.1021_jacs.8b12450__sample_45318,Sn0.98Na0.02Se0.995Te0.005,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.63871,4.17952253544954,2.3204182449106208,130,A,,no,10.1021/jacs.8b12450,,https://doi.org/10.1021/jacs.8b12450
83,10.1039_c1jm10163c__sample_8149,Cu0.07Bi2Te3,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.152324,1.2537657871502708,1.940720880098869,130,A,,no,10.1039/c1jm10163c,,https://doi.org/10.1039/c1jm10163c
84,10.1039_c0ee00012d__sample_1517,Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.247601,1.7500445887292535,1.157981176443421,130,A,,no,10.1039/c0ee00012d,,https://doi.org/10.1039/c0ee00012d
85,10.1039_c0ee00012d__sample_1516,Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.247889,1.578328973503158,1.15492629805024,130,A,,no,10.1039/c0ee00012d,,https://doi.org/10.1039/c0ee00012d
86,10.1038_s41598-017-05428-4__sample_15696,Bi0.35Sb1.65Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.036584,2.224167206906468,1.5085915104154342,130,A,,no,10.1038/s41598-017-05428-4,,https://doi.org/10.1038/s41598-017-05428-4
87,10.1021_jacs.8b12450__sample_45323,Sn0.98Na0.02Se0.97Te0.03,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.409971,6.449321854757853,2.8498953504397,130,A,,no,10.1021/jacs.8b12450,,https://doi.org/10.1021/jacs.8b12450
88,10.1021_jacs.8b12450__sample_45322,Sn0.98Na0.02Se0.975Te0.025,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.441642,5.816557160106036,3.69839627954153,130,A,,no,10.1021/jacs.8b12450,,https://doi.org/10.1021/jacs.8b12450
89,10.1021_acsaem.1c02589__sample_46137,Pb0.985Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.122933,1.1809375089744512,2.6866820605492667,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
90,10.1021_acsaem.1c02589__sample_46140,Pb0.935Sn0.05Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.290433,1.0541369651612025,1.991445051728127,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
91,10.1021_acsaem.1c02589__sample_46141,Pb0.885Sn0.10Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.170118,1.127923507314512,1.9446462419644777,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
92,10.1021_acsaem.1c02589__sample_46142,Pb0.835Sn0.15Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.068676,1.1116249309606572,1.3321831480891786,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
93,10.1007_s11664-019-07745-y__sample_32579,Ni/Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.029422,1.789439259473042,1.053255968864892,130,A,,no,10.1007/s11664-019-07745-y,,https://doi.org/10.1007/s11664-019-07745-y
94,10.1021_acsaem.1c02589__sample_46144,Pb0.735Sn0.25Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.035649,2.358574017656254,1.3153822908154047,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
95,10.1021_acsaem.1c02589__sample_46143,Pb0.785Sn0.20Sb0.015Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.092267,1.8982850438674177,1.64810882121953,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
96,10.1021_acsami.0c01004__sample_32843,Mg3.19Mn0.01Sb1.5Bi0.49Se0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.429412,1.2872473255517924,1.4999755497847551,130,A,,no,10.1021/acsami.0c01004,,https://doi.org/10.1021/acsami.0c01004
97,10.1021_acsami.0c01004__sample_32844,Mg3.18Mn0.02Sb1.5Bi0.49Se0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.590537,1.2796995829792763,1.5568157927804482,130,A,,no,10.1021/acsami.0c01004,,https://doi.org/10.1021/acsami.0c01004
98,10.1021_acsami.0c01004__sample_32845,Mg3.17Mn0.03Sb1.5Bi0.49Se0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.539898,1.328787545743905,1.516693504985138,130,A,,no,10.1021/acsami.0c01004,,https://doi.org/10.1021/acsami.0c01004
99,10.1021_acsami.1c12282__sample_45837,Sb0.15Ge0.85Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.580759,2.056541622028945,1.0922831709185763,130,A,,no,10.1021/acsami.1c12282,,https://doi.org/10.1021/acsami.1c12282
100,10.1021_acsami.1c12282__sample_45838,Al0.005Sb0.1Ge0.895Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.788779,1.535452665516902,1.4307129728459604,130,A,,no,10.1021/acsami.1c12282,,https://doi.org/10.1021/acsami.1c12282
