rank_step25,sample_key,composition,material_system,n_or_p,review_priority_score,review_reason,primary_error_source_hypothesis,zt_obs_max,zt_pred_ML_max,candidate_tier,check_additive,check_structure,check_np_type,check_sintering,DOI,paper_title,doi_url
67,10.1039_c6ra06688g__sample_9097,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.235665,1.2274277501996154,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
68,10.1016_j.scriptamat.2019.09.009__sample_35186,Cu2Se,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.606796,2.4268696019774096,A,True,True,,True,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
69,10.1016_j.scriptamat.2019.09.009__sample_35185,Cu2Se,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.56068,2.4678981093674763,A,True,True,,True,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
70,10.1016_j.scriptamat.2019.09.009__sample_35189,Cu2Se,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.963592,2.9537259709586703,A,True,True,,True,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
71,10.1016_j.scriptamat.2019.09.009__sample_35184,Cu2Se,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.053398,1.603586283351396,A,True,True,,True,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
72,10.1016_j.jmat.2019.01.008__sample_41039,Ag1.2Cu0.8Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.329073,1.2758650304593355,A,True,True,,True,10.1016/j.jmat.2019.01.008,,https://doi.org/10.1016/j.jmat.2019.01.008
73,10.1016_j.joule.2020.07.021__sample_37078,Ge0.87Sn0.05Sb0.08Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,2.198108,1.8052656097581268,A,True,True,,True,10.1016/j.joule.2020.07.021,,https://doi.org/10.1016/j.joule.2020.07.021
74,10.1016_j.jmat.2019.01.008__sample_41038,Ag1.4Cu0.6Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,not_evaluable,1.025394,1.7348450950651528,A,True,True,,True,10.1016/j.jmat.2019.01.008,,https://doi.org/10.1016/j.jmat.2019.01.008
75,10.1039_c6ra06688g__sample_9077,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.089128,1.0755775729156052,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
76,10.1016_j.joule.2020.07.021__sample_37079,Ge0.85Sn0.05Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.890416,1.137264345205492,A,True,True,,True,10.1016/j.joule.2020.07.021,,https://doi.org/10.1016/j.joule.2020.07.021
77,10.1039_c6ra06688g__sample_9080,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.250657,1.165791484416259,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
78,10.1039_c6ra06688g__sample_9098,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.283168,1.2110828844091983,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
79,10.1039_c7ee00098g__sample_31368,Mg3.15Nb0.05Sb1.5Bi0.49Te0.01,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,not_evaluable,1.461538,1.5508965725173545,A,True,True,,True,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
80,10.1016_j.scriptamat.2019.09.009__sample_35188,Cu2Se,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.997573,3.0319598175513733,A,True,True,,True,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
81,10.1016_j.mtphys.2021.100444__sample_45587,(Ge0.9Sb0.1Te)0.985(FeTe2)0.015,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.928685,1.4329788027243235,A,True,True,,True,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
82,10.1039_c7ee00098g__sample_31367,Mg3.19Nb0.01Sb1.5Bi0.49Te0.01,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.430769,1.4296561650821598,A,True,True,,True,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
83,10.1016_j.mtphys.2021.100444__sample_45584,Ge0.9Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.792042,1.808171611790291,A,True,True,,True,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
84,10.1016_j.mtphys.2021.100444__sample_45588,(Ge0.9Sb0.1Te)0.98(FeTe2)0.02,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.826325,1.161836730536297,A,True,True,,True,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
85,10.1016_j.mtphys.2018.05.001__sample_44012,Ag9GaSe5.68Te0.3,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.45101,2.4607361300244364,A,True,True,,True,10.1016/j.mtphys.2018.05.001,,https://doi.org/10.1016/j.mtphys.2018.05.001
86,10.1039_c6ra06688g__sample_9085,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,missing_additive_or_structure_annotation,1.28319,2.1023456473174167,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
87,10.1126_science.1156446__sample_9107,Bi8Sb44Te48,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.430189,1.080426115390007,A,True,True,,True,10.1126/science.1156446,,https://doi.org/10.1126/science.1156446
88,10.1016_j.matpr.2019.02.050__sample_39205,FeSi1.93Al0.07,,p,130,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.05535725,344.92865572919305,A,,,,,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
89,10.1016_j.mtphys.2021.100444__sample_45585,(Ge0.9Sb0.1Te)0.995(FeTe2)0.005,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.801592,1.322548475960904,A,True,True,,True,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
90,10.1002_adma.201400515__sample_7653,Cu1.98S,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,not_evaluable,1.362581,2.3911354386584924,A,True,True,,True,10.1002/adma.201400515,,https://doi.org/10.1002/adma.201400515
91,10.1016_j.mtphys.2021.100497__sample_45599,Ge0.73Al0.03Pb0.1Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,2.069919,1.5396498653687234,A,True,True,,True,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
92,10.1016_j.mtphys.2021.100497__sample_45600,Ge0.72Al0.04Pb0.1Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.114168,1.135161177476659,A,True,True,,True,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
93,10.1016_j.mtphys.2018.05.001__sample_44011,Ag9GaSe5.98,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.302239,2.1774384047084894,A,True,True,,True,10.1016/j.mtphys.2018.05.001,,https://doi.org/10.1016/j.mtphys.2018.05.001
94,10.1016_j.ceramint.2020.03.029__sample_33351,Bi2Te3,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.019663,1.00477947603541,A,True,True,,True,10.1016/j.ceramint.2020.03.029,,https://doi.org/10.1016/j.ceramint.2020.03.029
95,10.1002_adma.201705942__sample_31969,Ge0.9Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.725513,1.4756327306193575,A,True,True,,True,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
96,10.1016_j.jallcom.2011.06.116__sample_1628,Bi2Se0.36Te2.64,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.192206,1.379321150730733,A,True,True,,True,10.1016/j.jallcom.2011.06.116,,https://doi.org/10.1016/j.jallcom.2011.06.116
97,10.1016_j.matpr.2019.02.050__sample_39206,FeSi1.95P0.05,,n,130,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.02081825,1000.4405303769151,A,,,,,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
98,10.1016_j.mtphys.2021.100497__sample_45589,Ge0.9Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.746905,1.790672337227558,A,True,True,,True,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
99,10.1016_j.mtphys.2021.100497__sample_45598,Ge0.74Al0.02Pb0.1Sb0.1Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,2.22971,2.257687331665966,A,True,True,,True,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
100,10.1016_j.scriptamat.2018.05.026__sample_39768,Bi0.4Sb1.59Ge0.01Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.478817,1.505397821872251,A,True,True,,True,10.1016/j.scriptamat.2018.05.026,,https://doi.org/10.1016/j.scriptamat.2018.05.026
